m,greedy,lpc,opt_greedy,opt_clp
1,0.0,0.01040027141571045,1,1
2,0.0,0.011518144607543945,1,1
3,9.9945068359375e-05,0.01122744083404541,2,2
4,9.949207305908203e-05,0.011173319816589356,2,2
5,0.0,0.011717677116394043,2,2
6,0.00019989013671875,0.011893963813781739,3,5
7,0.0,0.012000036239624024,3,3
8,9.975433349609374e-05,0.012100505828857421,4,7
9,0.00010006427764892578,0.012125515937805175,4,4
10,9.9945068359375e-05,0.012374234199523926,3,3
11,9.996891021728516e-05,0.017599987983703613,4,7
12,0.0,0.0171001672744751,5,10
13,0.00010001659393310547,0.016899919509887694,4,9
14,3.8957595825195314e-05,0.017467951774597167,5,13
15,9.958744049072265e-05,0.016593384742736816,5,9
16,0.00020022392272949218,0.017099761962890626,5,11
17,0.0,0.017600035667419432,5,14
18,9.980201721191407e-05,0.01880009174346924,6,8
19,9.965896606445312e-05,0.017800378799438476,5,15
20,9.999275207519531e-05,0.01809999942779541,7,14
21,0.0,0.018418097496032716,5,5
22,9.982585906982422e-05,0.018424367904663085,7,11
23,0.0002997159957885742,0.017561960220336913,7,14
24,0.00020017623901367188,0.0205996036529541,7,16
25,0.00019936561584472657,0.01816706657409668,7,15
26,0.0003996849060058594,0.017900609970092775,7,14
27,0.0,0.018023920059204102,7,18
28,0.0001439809799194336,0.018076562881469728,7,17
29,9.9945068359375e-05,0.01837191581726074,7,15
30,0.00010008811950683594,0.017783617973327635,7,20
31,0.00020003318786621094,0.017747831344604493,7,19
32,0.0002447366714477539,0.018040013313293458,7,16
33,0.00019953250885009765,0.019867944717407226,8,22
34,0.0002001047134399414,0.01849982738494873,7,17
35,0.00020003318786621094,0.019318461418151855,8,19
36,0.0,0.018683242797851562,7,18
37,0.0,0.019199943542480467,7,19
38,9.9945068359375e-05,0.018600106239318848,7,18
39,0.0001996755599975586,0.018251562118530275,9,17
40,0.0002998828887939453,0.018700385093688966,8,20
41,9.987354278564453e-05,0.01940188407897949,8,19
42,0.000699615478515625,0.018103432655334473,8,24
43,0.00020000934600830078,0.018599057197570802,10,23
44,0.0002999067306518555,0.018366193771362303,7,17
45,0.0001997709274291992,0.01900010108947754,9,23
46,0.00019991397857666016,0.0189666748046875,9,23
47,0.0002519369125366211,0.018848061561584473,9,25
48,0.0001998424530029297,0.0190537691116333,9,22
49,5.245208740234375e-05,0.022162151336669923,8,20
50,0.00029997825622558595,0.01869993209838867,9,20
51,0.0005004405975341797,0.01872696876525879,9,24
52,9.996891021728516e-05,0.019402313232421874,9,26
53,0.0003000020980834961,0.018899941444396974,9,24
54,0.00019996166229248048,0.0421140193939209,9,18
55,0.0,0.02030043601989746,10,29
56,0.00020022392272949218,0.019427108764648437,9,24
57,0.00029995441436767576,0.01927218437194824,8,21
58,0.00039741992950439455,0.019785141944885253,9,24
59,0.0001443624496459961,0.019899821281433104,8,19
60,0.0003531217575073242,0.0194657564163208,9,24
61,0.0,0.0199812650680542,9,23
62,0.00035836696624755857,0.019541501998901367,11,25
63,0.0,0.02002246379852295,10,26
64,0.00046710968017578126,0.01913301944732666,10,27
65,0.00039997100830078123,0.021019506454467773,10,24
66,0.0003945112228393555,0.02261357307434082,10,25
67,0.0002002716064453125,0.019899606704711914,10,25
68,0.0006249427795410156,0.021689891815185547,10,21
69,0.000416111946105957,0.02009890079498291,11,28
70,0.0003333330154418945,0.020185256004333497,9,23
71,0.0005483388900756836,0.02024388313293457,11,24
72,0.000499558448791504,0.02030303478240967,10,26
73,0.00039110183715820315,0.020509219169616698,10,24
74,0.0002660036087036133,0.020633482933044435,10,29
75,0.0003513813018798828,0.021048712730407714,11,26
76,0.00035777091979980467,0.02135891914367676,10,30
77,0.00045375823974609376,0.022446203231811523,12,28
78,0.00042467117309570314,0.020824384689331055,11,30
79,0.0005068063735961914,0.021050214767456055,10,27
80,0.00019996166229248048,0.021899986267089843,11,24
81,0.0005821943283081055,0.02651817798614502,11,28
82,0.0002574920654296875,0.026634716987609865,11,27
83,0.0003651618957519531,0.02765820026397705,11,28
84,0.00015194416046142577,0.025687146186828613,10,28
85,0.0002737522125244141,0.026326370239257813,12,32
86,0.0006003618240356445,0.02663724422454834,10,27
87,0.0005005121231079102,0.026503372192382812,11,28
88,0.0004025697708129883,0.02670743465423584,11,23
89,0.00038287639617919924,0.02824826240539551,12,29
90,0.0006667613983154297,0.025826549530029295,11,32
91,0.0007298946380615235,0.02580254077911377,12,31
92,0.00036759376525878905,0.027487301826477052,11,28
93,0.000426793098449707,0.027190423011779784,13,29
94,0.00036995410919189454,0.02682490348815918,12,30
95,0.000511002540588379,0.02735140323638916,12,28
96,0.00037627220153808595,0.026579642295837404,13,29
97,0.0006461381912231445,0.026904892921447755,12,31
98,0.0005408287048339844,0.02662339210510254,11,30
99,0.0005248546600341797,0.027775216102600097,13,32
100,0.0003296852111816406,0.02657325267791748,12,26
101,0.00035603046417236327,0.02624483108520508,12,34
102,0.0002994537353515625,0.026493191719055176,12,34
103,0.00019931793212890625,0.027307772636413576,12,32
104,0.00032477378845214845,0.02937493324279785,11,31
105,0.00046291351318359373,0.029629087448120116,12,33
106,0.000660562515258789,0.027989006042480467,14,29
107,0.0003620147705078125,0.027643918991088867,11,32
108,0.0004643917083740234,0.028313970565795897,13,30
109,0.000514817237854004,0.02751772403717041,14,36
110,0.00037059783935546877,0.029467248916625978,12,34
111,0.0006347894668579102,0.028875398635864257,13,32
112,0.0002887487411499023,0.02733759880065918,12,32
113,0.0007409095764160156,0.028146982192993164,13,28
114,0.0005171060562133789,0.02710561752319336,13,34
115,0.0008200883865356445,0.026926040649414062,15,34
116,0.0004999160766601563,0.027117037773132326,13,32
117,0.0008520603179931641,0.027784132957458497,12,27
118,0.000587916374206543,0.028127002716064452,13,33
119,0.0005444049835205078,0.02862691879272461,12,34
120,0.0004842996597290039,0.02913033962249756,13,34
121,0.00034961700439453127,0.03011820316314697,14,32
122,0.000569462776184082,0.02871670722961426,14,36
123,0.0007583141326904297,0.028430819511413574,13,33
124,0.0007381916046142578,0.027844738960266114,13,29
125,0.0005998611450195312,0.028109192848205566,13,32
126,0.0005547761917114258,0.028356313705444336,14,34
127,0.0007432222366333008,0.02829279899597168,12,35
128,0.000816178321838379,0.028065252304077148,13,33
129,0.00046002864837646484,0.028642725944519044,13,32
130,0.0005836725234985351,0.0283815860748291,13,32
131,0.0007642745971679687,0.028049135208129884,13,30
132,0.0004948854446411132,0.028492188453674315,13,31
133,0.000697922706604004,0.028919553756713866,14,34
134,0.00037496089935302735,0.0289262056350708,12,30
135,0.0008111715316772461,0.028936386108398438,12,33
136,0.0007748603820800781,0.029140233993530273,14,36
137,0.0005717992782592774,0.03143386840820313,13,34
138,0.0005983591079711914,0.028707480430603026,14,38
139,0.0007773637771606445,0.031127381324768066,14,36
140,0.0008595705032348633,0.028262758255004884,14,38
141,0.0009006500244140625,0.03209834098815918,13,31
142,0.0007446050643920898,0.030957651138305665,15,36
143,0.0008707046508789062,0.02954699993133545,13,35
144,0.0006333589553833008,0.03266663551330566,14,36
145,0.0006887912750244141,0.031328129768371585,13,35
146,0.0007603168487548828,0.03244800567626953,14,29
147,0.0009739398956298828,0.029423165321350097,15,34
148,0.000790262222290039,0.029427862167358397,14,37
149,0.0007841587066650391,0.02899887561798096,13,36
150,0.0006549835205078125,0.030351853370666503,14,35
151,0.0005711793899536132,0.03029766082763672,13,35
152,0.0008073806762695313,0.03222014904022217,13,39
153,0.0008184194564819336,0.02922518253326416,14,37
154,0.000628209114074707,0.029699301719665526,14,35
155,0.0006853342056274414,0.03113682270050049,14,39
156,0.000950479507446289,0.03186359405517578,13,32
157,0.001047062873840332,0.030469989776611327,14,37
158,0.0007437229156494141,0.03707518577575684,15,35
159,0.0007431745529174804,0.031212925910949707,14,32
160,0.000682830810546875,0.031104063987731932,14,36
161,0.0010668516159057617,0.03032228946685791,14,37
162,0.0012393236160278321,0.032460784912109374,14,33
163,0.0008926868438720703,0.032407164573669434,13,36
164,0.0007395267486572266,0.03173351287841797,14,30
165,0.001251363754272461,0.033274054527282715,14,35
166,0.0009203195571899414,0.03189475536346435,16,34
167,0.0011615514755249023,0.03836357593536377,14,35
168,0.0008423805236816406,0.03298439979553223,14,36
169,0.0008981227874755859,0.03267879486083984,14,39
170,0.0008746623992919922,0.04783782958984375,15,37
171,0.0007510900497436524,0.03256566524505615,15,39
172,0.0009463548660278321,0.03296618461608887,14,35
173,0.001046466827392578,0.03756275177001953,15,36
174,0.0008819580078125,0.03482332229614258,15,36
175,0.0008993387222290039,0.03053460121154785,15,37
176,0.0009412765502929688,0.033847618103027347,15,36
177,0.0010753393173217774,0.034447002410888675,15,35
178,0.0009734153747558594,0.031626415252685544,14,36
179,0.001046895980834961,0.03405320644378662,15,33
180,0.0009824275970458985,0.03414146900177002,15,34
181,0.0009332895278930664,0.03226683139801025,15,35
182,0.0010149955749511718,0.03268511295318603,14,37
183,0.0008037567138671875,0.031456518173217776,14,38
184,0.0006817817687988281,0.03291950225830078,13,38
185,0.0008099079132080078,0.032349014282226564,15,39
186,0.0009666919708251953,0.03193330764770508,14,37
187,0.000990152359008789,0.03474383354187012,14,39
188,0.000997161865234375,0.03646893501281738,15,40
189,0.001037454605102539,0.032376790046691896,14,36
190,0.0009553670883178711,0.03516683578491211,15,35
191,0.0010681390762329102,0.04093472957611084,15,41
192,0.0009330272674560547,0.03322780132293701,16,39
193,0.0009101152420043946,0.03316605091094971,15,34
194,0.001000666618347168,0.03613841533660889,16,40
195,0.0009479999542236328,0.03298075199127197,16,40
196,0.001174759864807129,0.035707640647888186,15,38
197,0.0010155916213989257,0.03520042896270752,16,36
198,0.0010658502578735352,0.03432872295379639,14,38
199,0.0009566783905029297,0.03236002922058105,16,40
200,0.000915360450744629,0.035718679428100586,15,35
201,0.001167440414428711,0.034441018104553224,16,37
202,0.0010615348815917968,0.03302497863769531,15,37
203,0.000992131233215332,0.03483717441558838,16,36
204,0.001144099235534668,0.03397040367126465,15,40
205,0.001020956039428711,0.03391408920288086,15,42
206,0.0011116981506347657,0.03927526473999023,15,39
207,0.0011061429977416992,0.035603666305541994,15,40
208,0.0013423681259155274,0.03634302616119385,16,40
209,0.0010790824890136719,0.03388757705688476,15,41
210,0.0011851072311401367,0.03271493911743164,15,39
211,0.0011565685272216797,0.033246326446533206,16,40
212,0.001371288299560547,0.03521392345428467,16,39
213,0.001421952247619629,0.071380615234375,16,41
214,0.0010835886001586913,0.03798627853393555,16,39
215,0.0016941070556640626,0.05151398181915283,16,37
216,0.0015166759490966796,0.03670217990875244,15,40
217,0.00153658390045166,0.03774936199188232,16,40
218,0.0017020225524902344,0.03632998466491699,16,39
219,0.0011684894561767578,0.034148645401000974,16,35
220,0.0011820316314697266,0.03451814651489258,16,39
