m,bt_time,ilp_time,opt,greed_t,lpc_t,greed_opt,lpc_opt
4,0.0001998424530029,0.0188004970550537,2,0.0,0.012399935722351074,2,2
5,0.0004971027374267,0.0197025775909423,1,0.0,0.011449670791625977,1,1
6,0.0005633354187011,0.0212364673614501,1,0.0,0.019150829315185545,1,1
7,0.0007853031158447,0.0233016014099121,2,0.0,0.01697077751159668,2,3
8,0.0009877204895019,0.0200536251068115,1,0.0,0.0180999755859375,1,1
9,0.0025766372680664,0.0220240592956542,2,3.712177276611328e-05,0.021015453338623046,2,5
10,0.0009994506835937,0.0204594135284423,2,0.0,0.01796274185180664,3,2
11,0.0021961212158203,0.0208863258361816,2,0.0,0.01660046577453613,2,2
12,0.0015977382659912,0.0244021892547607,2,0.0,0.017299699783325195,2,2
13,0.002997350692749,0.0224026679992675,3,0.0,0.01679997444152832,3,3
14,0.0007459640502929,0.0218547821044921,4,0.0,0.017100095748901367,4,6
15,0.0049956798553466,0.0234041690826416,3,0.0,0.017599987983703613,4,7
16,0.0041847229003906,0.0217407703399658,3,0.0,0.01830000877380371,5,5
17,0.005217170715332,0.0219826221466064,3,0.0,0.01770036220550537,3,7
18,0.0128662586212158,0.0224727153778076,3,0.0,0.018000006675720215,3,5
19,0.0119585037231445,0.0220411777496337,5,0.0,0.01910083293914795,5,9
20,0.0275422573089599,0.0404488086700439,4,0.0,0.01730794906616211,4,12
21,0.0065989017486572,0.0222008228302001,3,0.0,0.01882922649383545,3,9
22,0.0168123722076416,0.0237878799438476,4,0.00010004043579101563,0.01829345226287842,4,11
23,0.0174094200134277,0.0516972064971923,4,0.0,0.018999910354614256,4,12
24,0.0265382766723632,0.0228617668151855,4,0.0,0.019300103187561035,4,9
25,0.0174197673797607,0.0229801654815673,6,0.0,0.01887483596801758,6,6
26,0.0060217857360839,0.0231782436370849,3,0.0,0.01899995803833008,3,6
27,0.0463992118835449,0.0242007732391357,4,0.0,0.01761765480041504,5,13
28,0.0534089565277099,0.0221911430358886,6,0.0,0.01725459098815918,6,6
29,0.0055054187774658,0.0216946601867675,3,0.0,0.02160031795501709,4,3
30,0.0033549785614013,0.0233040809631347,6,0.0,0.017774629592895507,6,8
31,0.0347398281097412,0.0440018653869628,4,0.0,0.018908262252807617,4,11
32,0.087398624420166,0.0240265369415283,4,0.0,0.019099998474121093,4,9
33,0.0695733547210693,0.0222118854522705,5,0.0,0.018200230598449708,6,5
34,0.1279855728149414,0.0220422267913818,4,0.0,0.01849939823150635,5,4
35,0.0227934837341308,0.0218725681304931,4,0.0,0.019417881965637207,4,4
36,0.0517451286315917,0.0217924118041992,5,0.0,0.01790018081665039,6,10
37,0.0650870323181152,0.0365130901336669,4,0.0,0.01840062141418457,4,6
38,0.0864157676696777,0.0210500717163085,6,9.996891021728516e-05,0.01753554344177246,8,6
39,0.0408302783966064,0.0250001430511474,5,0.0,0.018326354026794434,6,8
40,0.0729663372039794,0.0276639461517334,5,0.0,0.018799614906311036,6,7
41,0.0689434051513671,0.0236564636230468,5,0.0,0.020099997520446777,6,11
42,0.0293384075164794,0.022100019454956,5,0.0,0.019818878173828124,6,5
43,0.01199951171875,0.0488014698028564,4,0.0,0.018751859664916992,5,4
44,0.0641994476318359,0.0215995788574218,5,0.0,0.020199966430664063,6,5
45,0.0405390739440918,0.0253005504608154,6,9.999275207519531e-05,0.018399548530578614,7,12
46,0.0269890308380126,0.0444004535675048,5,0.0,0.01965789794921875,5,10
47,0.4060649394989014,0.0955590724945068,6,0.0,0.020099663734436037,7,13
48,0.0647163867950439,0.0241230964660644,5,0.0,0.019060254096984863,6,8
49,0.0689363479614257,0.0238636493682861,5,9.999275207519531e-05,0.020129919052124023,6,5
50,0.2401266574859619,0.0254732608795166,7,0.0,0.01897006034851074,7,11
51,0.0380770683288574,0.0237410068511962,6,0.0,0.018759608268737793,7,9
52,0.0258434772491455,0.0240599155426025,6,0.0,0.019429492950439452,6,14
53,0.0913950443267822,0.0258423805236816,5,9.97781753540039e-05,0.019370722770690917,6,12
54,0.1549553871154785,0.0236735343933105,6,0.0,0.020699954032897948,6,9
55,0.2708192825317382,0.0240423202514648,6,0.00010001659393310547,0.02189967632293701,7,12
56,0.1190981864929199,0.0241019248962402,6,0.0,0.019700288772583008,7,11
57,0.0675146579742431,0.0230852127075195,6,0.0,0.019714975357055665,7,8
58,0.2548917293548584,0.0246015071868896,6,9.877681732177735e-05,0.020595240592956542,7,8
59,0.3693873882293701,0.0233746528625488,6,0.0,0.019829964637756346,7,6
60,0.1307165622711181,0.0288274765014648,5,0.0,0.021904897689819337,6,12
61,0.2022741317749023,0.0236972332000732,7,0.0,0.020099687576293945,9,7
